Nanopore,Region_MA-MM-CR,Length_3way,Diff_MA-MA,Diff_CR-CR,Diff_MM-MM,Region_MA-MM,Length_MA-MM,Diff_MA-MA,Diff_MM-MM,Region_MA-CR,Length_MA-CR,Diff_MA-MA,Diff_CR_CR,Region_MM-CR,Length_MM-CR,Diff_MM-MM,Diff_CR-CR
f336343e-6b18-4dd2-8284-f1174d4ea72d,,,,,,,,,,,,,,1130,7425,98,0
0b6ad3d9-a085-4618-a808-7856061565d6,,,,,,,,,,,,,,46,6594,104,0
7ac9ba4f-5f11-4747-9e5a-3fb76ed25e69,,,,,,,,,,,,,,577,7585,105,0
e8ab43d8-a97b-4c4b-9ba3-36b0199cff9d,,,,,,,,,,,,,,1077,9784,111,0
facc8e8f-3fab-4e03-8d1a-08fb19ae71a4,,,,,,,,,,,,,,1168,11757,114,0
e9fc35ee-50b1-46ec-b47d-d23ea2df03b7,,,,,,,,,,,,,,1085,9735,129,0
b4c0d8b7-cd2d-4329-ad71-779486fbf9d7,364,2705,57,0,22,698,9637,101,36,,,,,830,8470,135,0
72c42f41-7c45-42cb-ade5-4dae5885c44e,,,,,,,,,,,,,,531,7832,141,0
4d03fb6e-e053-4ff1-8e93-8d5d4a60f908,,,,,,,,,,,,,,353,11501,153,0
1c510395-1910-4fc6-b116-f4e1e05b60a5,,,,,,,,,,,,,,135,12346,165,0
0c03baf7-4629-4eb5-8e48-13037e6cb850,25,20239,446,0,209,48,18303,411,189,34,18323,415,0,50,18240,189,0
d7d9eaf1-224e-49c4-a92a-7831559b18f2,,,,,,,,,,,,,,991,7183,190,0
78525c4c-a12a-4643-8c33-ccfc3ab3f299,,,,,,,,,,,,,,567,11206,205,0
d177a57d-c220-4280-92a7-4a04e03dbbeb,,,,,,,,,,,,,,964,12650,272,0
41c623ce-3007-476b-9856-ea01a26fc156,,,,,,,,,,,,,,301,12440,143,1
f51afa86-d1a8-45d1-a10a-c4aeafef8920,507,12734,0,1,235,950,10760,0,211,,,,,1142,10758,209,1
d78b07b8-2f45-4031-82cb-55b212aeca81,,,,,,,,,,,,,,,,,2
f50eb0cb-52ed-498c-90aa-c75f6d7c8df4,,,,,,,,,,,,,,1141,10272,76,3
57de1eb3-614c-4a5e-8ac0-f740f04b3b37,,,,,,,,,,,,,,403,13564,192,3
1c392a70-7d1f-42a9-80ee-36a32c871b50,64,11380,248,5,128,114,15196,313,156,85,10627,237,5,134,9600,118,5
39929cd7-4722-43ea-bc38-b5bbb526de5d,,,,,,,,,,,,,,262,7083,39,6
709c2d44-4460-47a8-904c-c2fb0bd2449d,,,,,,,,,,,,,,526,10699,58,8
53f5baca-87e6-424a-b770-431f995ff7f3,176,14902,243,8,114,335,12980,222,109,226,12911,229,8,375,13011,111,8
19091e54-3d49-409c-9f97-e8efcf154e8f,,,,,,,,,,,,,,117,10130,147,10
358e4f18-318e-4d66-a288-afeab9a92ba0,,,,,,,,,,,,,,244,7500,69,11
0751fbea-c6d6-4d8b-ad1a-1f5cd25b74e4,,,,,,,,,,,,,,28,17759,105,15
4cf348de-186d-4a28-9243-85a199ca9127,,,,,,,,,,,,,,352,11430,73,16
a86226fe-c2ab-482d-86fd-dd8079eadc31,,,,,,,,,,,,,,776,6549,24,17
cdbb9cac-0b8d-49cc-b0ff-5455aa358ae0,,,,,,,,,,,,,,939,9906,71,17
357d4d17-c706-4ab9-9219-cc66ba87e8a0,114,4071,60,64,23,205,10714,208,104,148,7499,169,172,243,2084,3,19
3f634031-4b03-470a-a5f8-6d04f21e171f,,,,,,,,,,,,,,285,12050,87,22
60e5f36b-75cb-4844-96e0-07bf30f21a32,,,,,,,,,,,,,,455,4511,48,25
0caee56d-cc31-4d35-b365-e5f25d00bab4,27,11096,171,24,90,52,9588,161,76,37,9120,137,23,54,9224,77,25
35bd734b-4491-40f4-8b66-9829d7776c2a,115,10101,256,47,74,,,,,,,,,245,8156,66,28
dab8e957-7d58-4cab-8976-e9ad5ce1e7fc,,,,,,,,,,,,,,1003,14569,133,28
bb2358bf-dab2-42d5-9440-16a02b86f20b,376,13235,296,42,120,,,,,489,11244,273,30,860,11291,105,30
f1f9ed55-9887-45a8-9e04-4b5e0dc453c5,,,,,,,,,,,,,,1123,12864,103,32
b2f76223-4ee6-4b8f-9eea-8889dc04cc3e,,,,,,,,,,,,,,821,10673,94,34
7628f230-88e1-4911-baa4-880a9f730630,250,14740,283,60,85,477,13697,257,82,324,12804,240,34,553,12756,78,35
58b13a6f-2d89-49a5-b28a-fa355bec1f75,,,,,,,,,,,,,,411,8680,94,37
4023c8e6-12ae-4e3c-b6c7-bda6ff6984fe,,,,,,,,,,,,,,294,10782,170,39
a525f629-dd59-4ad9-8948-56216a8fa0af,,,,,,,,,,,,,,764,12008,202,40
13f88d1a-723a-47eb-b698-915151b440d6,,,,,,,,,,,,,,91,7542,94,43
dfe7e593-88b5-432f-a0b6-ef217d8f2487,,,,,,,,,,,,,,1028,8220,108,50
5e1924bf-6e26-4c28-9b3a-d7381193862e,,,,,,,,,,,,,,443,8111,133,51
42d96243-8cba-4414-8762-9cd8f53d8d8d,,,,,,,,,,,,,,304,9458,126,52
b1d5134f-413b-4752-a63c-c28a96c4caae,,,,,,,,,,,,,,815,9028,1,55
6514a22d-45e5-4f70-866d-c26c98f52108,,,,,,,,,,,,,,473,14424,168,58
fe9d5a19-8a90-4385-95f6-e434d4175a08,526,9808,107,78,60,982,10537,99,41,681,8358,60,50,1188,8486,33,59
4930ef07-6fa0-495d-b5b4-3c0cd6f9897f,160,9854,61,85,26,284,8788,59,22,202,8105,56,70,336,8149,27,63
9fb9d00d-1b69-4f93-af93-b8f4c7622bf1,,,,,,,,,,,,,,740,11346,128,65
4210f563-8d7a-4dbc-b107-8f89cb4d6c2b,,,,,,,,,,,,,,302,10942,190,65
0c850f49-2b6a-4315-917a-233420d9bba5,,,,,,,,,,,,,,52,7787,35,66
9d57c522-5cbb-4b15-9ea7-ef80435ebe5c,313,11017,74,87,78,611,12926,107,76,411,9114,31,64,726,8979,60,68
f04a5909-1701-4b48-af11-5db804512704,496,17913,478,77,272,930,15971,478,259,,,,,1114,16037,261,68
350ce013-1485-4592-bc61-ff0f386db9c6,,,,,,202,7856,63,38,147,7744,63,71,242,7876,37,70
5f302095-deb5-4b44-8e48-3990a1cdc2ee,208,4768,74,70,47,391,8568,139,83,264,7715,173,170,447,3441,45,71
8f5f4976-ca87-486e-9904-c8f6986e1ccf,,,,,,,,,,,,,,657,7560,67,78
06e76144-c095-46b8-9981-07a92257789f,15,11240,206,80,108,29,9314,195,105,17,9264,199,77,25,9319,103,79
e689e42e-1dce-4d1f-b24c-56cfcadd6252,,,,,,,,,,,,,,1068,18532,177,79
bd6d4495-e5cc-4920-aebb-e4d4e3860fbd,,,,,,,,,,,,,,867,11851,76,80
677ea785-19a9-49bb-b154-e3569f68732f,,,,,,,,,,,,,,490,8303,44,82
bd6af4ac-9ed9-4ed2-ba27-dd6253e45956,,,,,,,,,,,,,,866,6860,0,83
cc824020-a976-4fb4-8638-57e79a2f0dee,,,,,,,,,,,,,,934,4543,20,84
